id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
4,2017-01-20 21:53:21.321976,,,,,,f,,participant,A2UBONRW1WBNJ6,3D4CH1LGEBMDCDKS0A6JH6HKWI79G7,A2UBONRW1WBNJ6:3D4CH1LGEBMDCDKS0A6JH6HKWI79G7,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:53:26.392263,,,returned
3,2017-01-20 21:52:50.565521,,,,,,f,,participant,A192MH226Q1NT4,3IGI0VL648DMTS5KP32W4GL6STFNO7,A192MH226Q1NT4:3IGI0VL648DMTS5KP32W4GL6STFNO7,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:54:10.163612,,,returned
5,2017-01-20 21:53:44.073681,,,,,,f,,participant,A21S7MA9DCW95E,3F0BG9B9MQG9KLHZFJU5AAXI6O8Y7H,A21S7MA9DCW95E:3F0BG9B9MQG9KLHZFJU5AAXI6O8Y7H,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:54:35.655107,,,returned
7,2017-01-20 21:54:24.297409,,,,,,f,,participant,A3LA5P3N3KI8U7,3IGI0VL648DMTS5KP32W4GL6STFNO7,A3LA5P3N3KI8U7:3IGI0VL648DMTS5KP32W4GL6STFNO7,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:54:37.956727,,,returned
6,2017-01-20 21:54:13.11902,,,,,,f,,participant,A13PXTFOXDCKBF,3E337GFOLA1Y1FOM1KPOZ7C417OGND,A13PXTFOXDCKBF:3E337GFOLA1Y1FOM1KPOZ7C417OGND,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:55:00.156987,1,0.03,approved
9,2017-01-20 21:55:27.140709,,,,,,f,,participant,A3J5KTBHZI60H,38SKSKU7R2QM96RWFV9C7RLVBPGLI8,A3J5KTBHZI60H:38SKSKU7R2QM96RWFV9C7RLVBPGLI8,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:57:20.433445,1,0.06,approved
8,2017-01-20 21:54:31.541066,,,,,,f,,participant,AMG9Y1YLBTKIV,33LK57MYLUYV89BWZ8UZJ82GZWQSZQ,AMG9Y1YLBTKIV:33LK57MYLUYV89BWZ8UZJ82GZWQSZQ,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:57:58.852737,,,returned
10,2017-01-20 21:58:54.318223,,,,,,f,,participant,A3GJWXA13GMS9H,3F6KKYWMNCUVPVEVZUOGTM97OF8DN0,A3GJWXA13GMS9H:3F6KKYWMNCUVPVEVZUOGTM97OF8DN0,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:59:39.223128,1,0.02,approved
2,2017-01-20 21:52:14.907438,,,,,,f,,participant,ATIUQQLY0LCNA,30ZX6P7VF9OC3VPUN7C74W1MI4EJ2T,ATIUQQLY0LCNA:30ZX6P7VF9OC3VPUN7C74W1MI4EJ2T,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:59:39.332371,1,0.25,approved
11,2017-01-20 21:58:55.480361,,,,,,f,,participant,AQVXVMX61864S,3S3AMIZX3VYCYRH4A4F2DBFVPBVCDI,AQVXVMX61864S:3S3AMIZX3VYCYRH4A4F2DBFVPBVCDI,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:59:40.347453,1,0.02,approved
1,2017-01-20 21:52:11.558455,,,,,,f,,participant,A14MLOVO4YH17Z,3TU5ZICBREU4BXVWYE5HBOQBIZYQ8U,A14MLOVO4YH17Z:3TU5ZICBREU4BXVWYE5HBOQBIZYQ8U,36GJS3V78VJZV5Z7WKSUIGZ2G7KGJO,live,2017-01-20 21:59:40.353116,1,0.25,approved
