id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,origin_id,destination_id,network_id
2,2017-01-20 21:53:22.791459,,,,,,f,,1,3,1
4,2017-01-20 21:53:23.236086,,,,,,f,,1,5,1
3,2017-01-20 21:53:22.967408,,,,,,t,2017-01-20 21:53:26.424959,1,4,1
7,2017-01-20 21:53:23.280439,,,,,,t,2017-01-20 21:53:26.433156,4,2,1
8,2017-01-20 21:53:23.286176,,,,,,t,2017-01-20 21:53:26.441012,2,4,1
11,2017-01-20 21:53:23.310596,,,,,,t,2017-01-20 21:53:26.456305,5,4,1
12,2017-01-20 21:53:23.315311,,,,,,t,2017-01-20 21:53:26.46195,4,5,1
1,2017-01-20 21:53:22.773801,,,,,,t,2017-01-20 21:54:10.250085,1,2,1
5,2017-01-20 21:53:23.265981,,,,,,t,2017-01-20 21:54:10.261495,3,2,1
6,2017-01-20 21:53:23.270988,,,,,,t,2017-01-20 21:54:10.272017,2,3,1
9,2017-01-20 21:53:23.296556,,,,,,t,2017-01-20 21:54:10.28068,5,2,1
10,2017-01-20 21:53:23.301782,,,,,,t,2017-01-20 21:54:10.287613,2,5,1
